company_id,company_name,country,industry,size_bin,group_memberships,signals_count,last_ts,score_0_100
85,La Rodó,UY,transport_logistics,m,0.0,0,,0.0
84,Las panteras de Benguela,UY,transport_logistics,m,0.0,0,,0.0
83,Yahayra Films,MX,ict_telecom,m,0.0,0,,0.0
82,Supermercados El Dorado,UY,retail_consumer,m,0.0,0,,0.0
81,Ferrovia Centro-Atlântica,BR,transport_logistics,l,0.0,0,,0.0
80,Ferrocarriles Suburbanos,MX,transport_logistics,m,0.0,0,,0.0
79,Portren,UY,transport_logistics,m,0.0,0,,0.0
78,Super Xtra,PA,retail_consumer,m,0.0,0,,0.0
77,Casanova,UY,transport_logistics,m,0.0,0,,0.0
86,M.Q.L.,UY,transport_logistics,m,0.0,0,,0.0
115,Ferrovia Novoeste S.A.,BR,transport_logistics,m,0.0,0,,0.0
114,Ferrosur,MX,transport_logistics,m,0.0,0,,0.0
113,PeruRail,PE,transport_logistics,m,0.0,0,,0.0
112,Ferrocarril del Pacífico,CL,transport_logistics,m,0.0,0,,0.0
111,Ferrocarril Interoceánico de México,MX,transport_logistics,m,0.0,0,,0.0
110,Ferroban,BR,transport_logistics,m,0.0,0,,0.0
109,Motta Internacional,PA,retail_consumer,m,0.0,0,,0.0
108,On City,AR,retail_consumer,m,0.0,0,,0.0
95,ODM Express,MX,transport_logistics,m,0.0,0,,0.0
106,Moving Pics,AR,ict_telecom,m,0.0,0,,0.0
105,KoKoK The Roach,PA,retail_consumer,m,0.0,0,,0.0
104,Empresa Panameña de Alimentos,PA,finance_insurance,m,0.0,0,,0.0
103,"Gold Mills de Panamá, S.A.",PA,agro_food,m,0.0,0,,0.0
100,Parque Turístico Din Kong,BO,transport_logistics,m,0.0,0,,0.0
99,LATAM Cargo,CL,transport_logistics,m,0.0,0,,0.0
98,Pluz Energía Perú,PE,energy_power,m,0.0,0,,0.0
97,Banco Continental,PY,finance_insurance,m,0.0,0,,0.0
96,Grupo Puntacana,DO,construction_realestate,m,0.0,0,,0.0
107,Kansas City Southern de México,MX,transport_logistics,m,0.0,0,,0.0
