row_idx,entity_id,old_industry,new_industry,reason,score,sector_hint
1824,ext::ungc::tribunal-de-justica-militar-do-estado-de-sao-paulo-br,ict_digital_media,ict_telecom,weighted,2.0,
1826,ext::ungc::paradigma-consultores-asociados-ar,ict_digital_media,ict_telecom,weighted,5.0,
1827,ext::ungc::porkcolombia-fnp-co,transport_mobility_logistics,transport_logistics,weighted,7.5,
1828,ext::ungc::universidad-eia-co,ict_digital_media,public_social_education,alias,,
1829,ext::ungc::gedes-cl,retail_consumer_services,retail_consumer,weighted,6.0,
1830,ext::ungc::pinn-consultoria-br,retail_consumer_services,retail_consumer,weighted,6.0,
1831,ext::ungc::universidade-comunitaria-da-regiao-de-chapeco-unochapeco-br,ict_digital_media,public_social_education,alias,,
1832,ext::ungc::summum-projects-s-a-s-co,energy_power_utilities,energy_power,weighted,2.0,
1834,ext::ungc::cooperativa-de-trabajo-magis-limitada-ar,retail_consumer_services,retail_consumer,weighted,6.0,
1835,ext::ungc::bb-previdencia-br,ict_digital_media,ict_telecom,weighted,2.0,
1836,ext::ungc::parque-zoologico-buinzoo-sa-cl,agro_food_beverage,agro_food,weighted,5.5,
1837,ext::bcorp::rise-ventures-br,finance_insurance_capital,finance_insurance,weighted,4.5,
1838,ext::bcorp::kiron-spa-cl,industrial_manufacturing,manufacturing,weighted,3.0,
1839,ext::bcorp::agricola-sauco-spa-cl,agro_food_beverage,agro_food,weighted,7.5,
1840,ext::bcorp::movin-br,retail_consumer_services,retail_consumer,weighted,8.5,
1841,ext::bcorp::fazenda-da-toca-org-nicos-br,agro_food_beverage,agro_food,weighted,7.5,
1842,ext::bcorp::ecosistema-jaguar-co,ict_digital_media,agro_food,weighted,3.0,
1843,ext::ungc::senac-rs-br,ict_digital_media,ict_telecom,weighted,2.0,
1845,ext::ungc::manfrey-cooperativa-de-tamberos-de-comercializacion-e-indust-ar,agro_food_beverage,agro_food,weighted,5.5,
1847,ext::bcorp::sempli-co,finance_insurance_capital,finance_insurance,weighted,5.5,
1848,ext::bcorp::insolar-assessoria-empresarial-e-social-ltda-br,energy_power_utilities,energy_power,weighted,2.0,
1849,ext::ungc::asociacion-civil-la-usina-ar,ict_digital_media,ict_telecom,weighted,2.0,
1850,ext::bcorp::grupo-secowash-secochile-cl,industrial_manufacturing,manufacturing,weighted,3.0,
1851,ext::ungc::tgv-ar,ict_digital_media,ict_telecom,weighted,5.0,
1852,ext::bcorp::vivejar-br,hospitality_tourism_leisure,healthcare_pharma_biotech,alias,,
1853,ext::bcorp::papa-ar,industrial_manufacturing,manufacturing,weighted,3.0,
1854,ext::bcorp::change-for-good-desenvolvimento-de-programas-e-projetos-de-m-br,environmental_circular_services,agro_food,weighted,2.0,
1855,ext::ungc::sepam-setor-de-protecao-ambiental-gcm-praia-grande-sp-br,ict_digital_media,ict_telecom,weighted,2.0,
1856,ext::bcorp::teva-br,agro_food_beverage,agro_food,weighted,5.5,
1857,ext::bcorp::andes-express-sac-pe,transport_mobility_logistics,transport_logistics,weighted,7.5,
1858,ext::bcorp::rever-consulting-br,ict_digital_media,professional_services_consulting,weighted,3.0,
1860,ext::bcorp::comaco-cl,transport_mobility_logistics,transport_logistics,weighted,7.5,
1861,ext::bcorp::hilana-cl,environmental_circular_services,retail_consumer,weighted,6.0,
1862,ext::bcorp::plata-sac-global-beauty-corp-pe,agro_food_beverage,agro_food,weighted,5.5,
1864,ext::bcorp::hortifrut-chile-cl,agro_food_beverage,agro_food,weighted,7.5,
1865,ext::ungc::mainbit-mx,ict_digital_media,ict_telecom,weighted,5.0,
1866,ext::bcorp::denda-cl,retail_consumer_services,retail_consumer,weighted,8.0,
1867,ext::ungc::isatech-corporation-sas-co,industrial_manufacturing,manufacturing,weighted,3.0,
1868,ext::ungc::servicios-administrativos-javer-sa-de-cv-mx,construction_infrastructure_realestate,construction_realestate,weighted,3.0,
1869,ext::bcorp::clear-sale-s-a-br,ict_digital_media,retail_consumer,weighted,7.5,
1870,ext::bcorp::iconosur-cl,industrial_manufacturing,retail_consumer,alias,,
1871,ext::ungc::grupo-san-cristobal-ar,finance_insurance_capital,finance_insurance,weighted,2.5,
1872,ext::ungc::fundacion-hogar-integral-co,ict_digital_media,public_social_education,alias,,
1874,ext::bcorp::asta-corp-produtos-sustentaveis-ltda-br,retail_consumer_services,retail_consumer,alias,,
1875,ext::bcorp::doble-impacto-cl,finance_insurance_capital,finance_insurance,weighted,7.5,
1876,ext::ungc::instituto-compliance-rio-icrio-br,ict_digital_media,public_social_education,alias,,
1877,ext::ungc::editora-brasileira-de-arte-e-cultura-br,retail_consumer_services,retail_consumer,weighted,6.0,
1878,ext::ungc::pereira-gionedis-advogados-br,agro_food_beverage,agro_food,weighted,5.5,
1879,ext::ungc::thx-medios-s-a-infobae-ar,ict_digital_media,ict_telecom,weighted,2.0,
1880,ext::bcorp::zue-botanicals-co,industrial_manufacturing,manufacturing,weighted,3.0,
1881,ext::ungc::ci-sunshine-bouquet-sas-co,agro_food_beverage,agro_food,weighted,5.5,
1882,ext::ungc::ag-sustentable-sas-ar,retail_consumer_services,retail_consumer,weighted,6.0,
1883,ext::bcorp::mboja-o-py,agro_food_beverage,agro_food,weighted,5.5,
1884,ext::ungc::ik-asistencia-argentina-ar,retail_consumer_services,retail_consumer,weighted,6.0,
1885,ext::ungc::instituto-tecnologico-superior-de-san-luis-potosi-capital-mx,ict_digital_media,public_social_education,alias,,
1886,ext::ungc::blanver-farmoquimica-e-farmaceutica-s-a-br,agro_food_beverage,healthcare_pharma_biotech,alias,,
