company_id,company_qid,company_name,country,industry,size_bin,source,signal_type,signal_strength,ts,url,title,text_snippet,climate_score,sentiment_label,sentiment_score
260,Q134622080,Ferrocarril Mexicano del Sur,MX,transport_logistics,m,memberships,sbti,1.0,2024-04-11 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,ACEITES DEL SUR-COOSUR S.A.,1.0,positive,0.6
1,Q1001788,Compañía de Minas Buenaventura S.A.A.,PE,mining_metals,l,memberships,sbti,1.0,2024-04-11 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,LATI Industria Termoplastici S.p.A.,1.0,positive,0.6
825,ext::lojas-riachuelo-br,Lojas Riachuelo,BR,retail_consumer,m,memberships,sbti,1.0,2024-04-18 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,Lojas Riachuelo S/A,1.0,positive,0.6
979,ext::empresa-nacional-de-ferrocarriles-del-peru-pe,Empresa Nacional de Ferrocarriles del Peru,PE,manufacturing,m,memberships,sbti,1.0,2024-04-18 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,"Aigües de Barcelona, Empresa Metropolitana de Gestió del Cicle Integral de l'Aigua, S.A.",1.0,positive,0.6
1,Q1001788,Compañía de Minas Buenaventura S.A.A.,PE,mining_metals,l,memberships,sbti,1.0,2024-04-18 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,s.d.i. automazione industriale S.p.A.,1.0,positive,0.6
1,Q1001788,Compañía de Minas Buenaventura S.A.A.,PE,mining_metals,l,memberships,sbti,1.0,2024-04-25 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,Salvat Logistica S.A.,1.0,positive,0.6
1,Q1001788,Compañía de Minas Buenaventura S.A.A.,PE,mining_metals,l,memberships,sbti,1.0,2024-05-02 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,ARRI de Frontera S.A de C.V.,1.0,positive,0.6
352,Q20022051,Transporte Automotor La Plata S.A.,AR,transport_logistics,m,memberships,sbti,1.0,2024-05-02 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,Manucor S.p.A.,0.0,,0.0
352,Q20022051,Transporte Automotor La Plata S.A.,AR,transport_logistics,m,memberships,sbti,1.0,2024-05-09 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,Brandart S.p.A.,0.0,,0.0
1,Q1001788,Compañía de Minas Buenaventura S.A.A.,PE,mining_metals,l,memberships,sbti,1.0,2024-05-09 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,Brandart S.p.A.,1.0,positive,0.6
